description,genre
eating smoke one man s descent into crystal meth psychosis in hong kong s triad heartland chris thrall left the royal marines to find fortune in hong kong but following a bizarre series of jobs ended up homeless and in psychosis from crystal meth he began working for the 14k a notorious crime syndicate as a nightclub doorman in the wan chai red light district where he uncovered a vast global conspiracy and the foreign triad a secretive expat clique in cahoots with the chinese gangs alone and confused in the neon glare of hong kong s seedy backstreets chris was forced to survive in the world s most unforgiving city hooked on the world s most dangerous drug engaging honest and full of chris s irrepressible humour this remarkable memoir combines gripping storytelling with brooding menace as the triads begin to cast their shadow over him the result is a truly psychotic urban nightmare,Mystery
harry potter and the chamber of secrets ever since harry potter had come home for the summer the dursleys had been so mean and hideous that all harry wanted was to get back to the hogwarts school for witchcraft and wizardry but just as he s packing his bags harry receives a warning from a strange impish creature who says that if harry returns to hogwarts disaster will strike and strike it does for in harry s second year at hogwarts fresh torments and horrors arise including an outrageously stuck up new professor and a spirit who haunts the girls bathroom but then the real trouble begins someone is turning hogwarts students to stone could it be draco malfoy a more poisonous rival than ever could it possibly be hagrid whose mysterious past is finally told or could it be the one everyone at hogwarts most suspects harry potter himself,Fantasy
goodnight nobody new york times bestselling author jennifer weiner s unforgettable story of adjusting to suburbia and all the surprises hidden behind its doors for kate klein a semi accidental mother of three suburbia has been full of unpleasant surprises her once loving husband is hardly ever home the supermommies on the playground routinely snub her her days are spent carpooling and enduring endless games of candy land and at night most of her orgasms are of the do it yourself variety when a fellow mother is murdered kate finds that the unsolved mystery is the most exciting thing to happen in upchurch connecticut since her neighbors broke ground for a guesthouse and cracked their septic tank even though the local police chief warns her that crime fighting s a job best left to the professionals kate launches an unofficial investigation from 8 45 to 11 30 on mondays wednesdays and fridays when her kids are in nursery school as kate is drawn deeper into the murdered woman s past she begins to uncover the secrets and lies behind upchurch s picket fence facade and considers the choices and compromises all modern women make as they navigate between marriage and independence small towns and big cities being a mother and having a life of one s own,Mystery
twice as hot belle jamison is finally starting to feel like a normal girl again her job as a paranormal investigator is going well she s learned to control her supernatural abilities mostly and she s just gotten engaged to rome masters the ultra sexy operative who once tried to neutralize her but planning a wedding is never easy especially when the bride keeps accidentally torching her dress the groom returns from a dangerous mission with selective memory loss and the man responsible now wants belle for himself with rome s ex determined to win him back and a new band of supervillains on the horizon it will take all belle s powers plus a little help from her trusty empath sidekick to save the day salvage the wedding and prove that true love really does conquer all,Fantasy
welcome to kirsten s world 1854 growing up in pioneer america fans of the american girls collection will love these beautiful nonfiction books each offers new perspectives on the past as it really was during the times of the american girls from major historical events to the details of everyday life filled with exquisite photos illustrations and cutaway scenes these large format books also feature letters and diaries of real girls and women boys and men that bring the voices of yesterday to life for today s readers,Historical Fiction
the fires of heaven the fifth book in robert jordan s internationally bestselling epic fantasy series the wheel of time now reissued with a stunning new cover design the bonds and wards that hold the great lord of the dark are slowly failing but still his fragile prison holds the forsaken immortal servants of the shadow weave their snares and tighten their grip upon the realms of men sure in the knowledge that their master will soon break free rand al thor the dragon reborn knows that he must strike at the enemy but his forces are divided by treachery and by ambition even the aes sedai ancient guardians of the light are riven by civil war betrayed by his allies pursued by his enemies and beset by the madness that comes to the male wielders of the one power rand rides out to meet the foe,Fantasy
chanakya s chant the year is 340 bc a hunted haunted brahmin youth vows revenge for the gruesome murder of his beloved father cold calculating cruel and armed with a complete absence of accepted morals he becomes the most powerful political strategist in bharat and succeeds in uniting a ragged country against the invasion of the army of that demigod alexander the great pitting the weak edges of both forces against each other he pulls off a wicked and astonishing victory and succeeds in installing chandragupta on the throne of the mighty mauryan empire history knows him as the brilliant strategist chanakya satisfied and a little bored by his success as a kingmaker through the simple summoning of his gifted mind he recedes into the shadows to write his arthashastra the science of wealth but history which exults in repeating itself revives chanakya two and a half millennia later in the avatar of gangasagar mishra a brahmin teacher in smalltown india who becomes puppeteer to a host of ambitious individuals including a certain slumchild who grows up into a beautiful and powerful woman modern india happens to be just as riven as ancient bharat by class hatred corruption and divisive politics and this landscape is gangasagar s feasting ground can this wily pandit who preys on greed venality and sexual deviance bring about another miracle of a united india will chanakya s chant work again ashwin sanghi the bestselling author of the rozabal line brings you yet another historical spinechiller,Historical Fiction
the orange girl my father died eleven years ago i was only four then i never thought i d hear from him again but now we re writing a book together to georg r ed his father is no more than a shadow a distant memory but then one day his grandmother discovers some pages stuffed into the lining of an old red pushchair the pages are a letter to georg written just before his father died and a story the orange girl but the orange girl is no ordinary story it is a riddle from the past and centres around an incident in his father s youth one day he boarded a tram and was captivated by a beautiful girl standing in the aisle clutching a huge paper bag of luscious looking oranges suddenly the tram gave a jolt and he stumbled forward sending the oranges flying in all directions the girl simply hopped off the tram leaving georg s father with arms full of oranges now from beyond the grave he is asking his son to help him finally solve the puzzle of her identity,Romance
fire it is not a peaceful time in the dells the young king nash clings to his throne while rebel lords in the north and south build armies to unseat him the mountains and forests are filled with spies and thieves and lawless men this is where fire lives with a wild irresistible appearance and hair the color of flame fire is the last remaining human monster equally hated and adored she had the unique ability to control minds but she guards her power unwilling to steal the secrets of innocent people especially when she has so many of her own then prince brigan comes to bring her to king city the royal family needs her help to uncover the plot against the king far away from home fire begins to realize there s more to her power than she ever dreamed her power could save the kingdom if only she weren t afraid of becoming the monster her father was,Fantasy
the removable root cause of cancers and other chronic diseases the effort theory of evolution chronic diseases and extinction our healthcare teams have no means of curing many diseases eliminating their symptoms with no chance that such symptoms will cause death before ages that are well beyond 110 years which humans have the capacity to attain and preventing the tens of millions of premature deaths deaths that occur before such ages that such diseases cause altogether every single year because many of the factors that cause the production of deadly symptoms the only kind of causes of such symptoms that science could identify until this book was published by diseases are those such as viruses and genetic changes which cannot be eliminated from the bodies of sufferers by these teams but new scientific with predictions which have been observed explanations have described the most important cause of the symptoms of diseases a factor which is the root cause of diseases and their symptoms because when its effects are dampened reduced in strength or intensity in those who are already suffering from the symptoms of diseases such symptoms will disappear despite the presence of viruses genetic changes and other factors that cause diseases to produce such symptoms just as the manifestations of plants disappear when the roots of plants are eliminated irrespective of their level of exposure to water air sunlight and other factors that cause plants to produce such manifestations nature already in rare cases produces such dampening of the effects of the root cause of diseases and their symptoms through which our healthcare teams will be able to eliminate the deadly symptoms of diseases no matter how much their patients may be exposed to viruses genetic changes and other irremovable factors that cause diseases to produce symptoms our healthcare teams are familiar with observation known as spontaneous remission in which even the deadliest manifestations of diseases such as the spread of cancer that is known as malignancy or metastasis disappear from the bodies of their patients despite the fact that the treatments administered do not have the capacity to produce such disappearance they are also aware of the existence of children who harbor large amounts of the coronavirus that is spreading in our populations without experiencing any of the symptoms that covid 19 produces in humans who are infected with the virus researchers at the duke nus medical school have observed the dampening of inflammation through which nature produces the disappearance of symptoms of diseases in bats despite the presence of viruses such as sars mers and ebola that cause diseases to produce deadly symptoms in humans and other animals that are infected with such viruses and they have concluded that the solution to the problem caused by the inability of our healthcare teams to eliminate viruses and other factors that cause diseases to produce symptoms lies in this anti disease approach in which nature eliminates the symptoms that diseases produce without employing the anti pathogen anti cause approach in which our healthcare teams attempt to cure diseases by targeting factors that cause diseases to produce symptoms this book conveys a message of hope that diseases only have as much power as they get from the source of their symptoms their root cause in the absence of which such symptoms will disappear from our bodies irrespective of our level of exposure to those factors that are only causes of the production of such symptoms but not their source,Mystery
the wives new york times bestselling author tarryn fisher delivers a pulse pounding fast paced suspense novel that will leave you breathless a thriller you won t be able to put down thursday s husband seth has two other wives she s never met them and she doesn t know anything about them she agreed to this unusual arrangement because she s so crazy about him but one day she finds something something that tells a very different and horrifying story about the man she married what follows is one of the most twisted shocking thrillers you ll ever read you ll have to grab a copy to find out why,Thriller
logan s story the first book in a brand new series from bestselling author sarah robinson logan s story is a glimpse into the famous rockstars past and how he achieved his fame before the lights stage and music logan clay struggles to figure out who he can trust and whether or not love comes with guitar strings attached logan clay has the talent and he s put in the time all he needs is that one big break just one chance to prove he has what it takes to be a rockstar but his musical dreams are further away than ever and then she walks in to his life offering him everything he s ever wanted fame fortune and music there s no question that he s going to take the chance or that he wants to take her at the same time but everything is not what it seems will it be too late when he realizes his one big break was actually a deal with the devil in a short skirt and neon colored hair disclaimer this book was originally published in june 2014 with the title logan s story a sand amp clay prequel by sarah robinson since then it has been re edited a few short scenes here and there added in and given a new title and a new cover in order to improve the novel this is the final product of that revision process so there have been a lot of changes but the story itself is relatively the same this novel is meant for 18 years old,Romance
norse mythology introducing an instant classic master storyteller neil gaiman presents a dazzling version of the great norse myths neil gaiman has long been inspired by ancient mythology in creating the fantastical realms of his fiction now he turns his attention back to the source presenting a bravura rendition of the great northern tales in norse mythology gaiman stays true to the myths in envisioning the major norse pantheon odin the highest of the high wise daring and cunning thor odin s son incredibly strong yet not the wisest of gods and loki son of a giant blood brother to odin and a trickster and unsurpassable manipulator gaiman fashions these primeval stories into a novelistic arc that begins with the genesis of the legendary nine worlds and delves into the exploits of deities dwarfs and giants once when thor s hammer is stolen thor must disguise himself as a woman difficult with his beard and huge appetite to steal it back more poignant is the tale in which the blood of kvasir the most sagacious of gods is turned into a mead that infuses drinkers with poetry the work culminates in ragnarok the twilight of the gods and rebirth of a new time and people through gaiman s deft and witty prose emerge these gods with their fiercely competitive natures their susceptibility to being duped and to duping others and their tendency to let passion ignite their actions making these long ago myths breathe pungent life again librarian s note see alternate cover edition of asin b01hqa6eoc here,Historical Fiction
insight insight is the second book in the intwine saga it is the continuing story of eighteen year old juliette greenmoss of burbank california just as juliette is almost comfortable with the fact that the person she s fallen in love with seth morrison is from a planet 55 000 light years away she learns more shocking details about his life and the nature of the galaxy forces of good and evil converge in this galactic adventure and juliette must confront more evil than she ever imagined when the love of her life suddenly disappears,Science Fiction
hotter than hell beyond the boundaries of the everyday is an unseen realm where anything you imagine is possible your demon lover is waiting for you in the shadows ready to fulfill your secret wishes and most dangerous fantasies here passion has a face and form both titillating and terrifying and love has teeth and claws get ready to give in to your craving for something exquisitely dark and different hotter than hell gathers together a baker s dozen of today s boldest and best authors of supernatural fiction and paranormal romance in a breathtaking anthology that blends black magic with red hot desire from the tantalizing tale of a conflicted psychic vampire driven by a powerful savage love to the strange saga of a greek warrior woman battling to save the world these are stories outside the limits as hypnotic as the full moon and hotter than the sun,Fantasy
a rose in winter a heart tormented erienne s father had given her hand to the richest suitor she was now lady saxton mistress of a great manor all but ruined by fire wife to a man whose mysteriously shrouded form aroused fear and pity yet even as she fell in love with her adoring husband erienne despaired of freeing her heart from the dashingly handsome yankee who couldn t forget her the beautiful erienne once filled with young dreams of romance was now a wife and woman torn between the two men she loved,Historical Fiction
my soul to keep kaylee has one her very hot very popular boyfriend nash a banshee like kaylee nash understands her like no one else nothing can come between them until something does demon breath no not the toothpaste challenged kind the netherworld kind the kind that really can kill you somehow the super addictive substance has made its way to the human world but how kaylee and nash have to cut off the source and protect their friends one of whom is already hooked and so is someone else,Fantasy
small as a mustard seed small as a mustard seed is a real page turner a gripping tale of a family blown apart by tragedy yet ultimately the novel is redeeming as well told through the viewpoint of a heroine who will both break and mend your heart sue william silverman author of love sick as the daughter of a korean war veteran ann marie learns not to trust people including her own parents while her father rages with post traumatic stress disorder ptsd confusing reality with soul searing memories her blindsided mother struggles to guard the family secrets the relationship with her sister jolene is the only beacon of light and tenderness in ann marie s life as their father s mental illness leaves the girls in fear for their lives the two sisters share a seemingly unbreakable bond until tragedy rips their dysfunctional family apart an emotional coming of age story small as a mustard seed challenges us to hang onto hope even as our hearts break to define love in new ways after the fallout and to choose forgiveness for ourselves in the end an excellent choice for fans of powerful young adult fiction from authors like jay asher john green and laurie halse anderson small as a mustard seed is a story that will run you through an emotional marathon at a sprinter s pace rarely do you find a novel or a writer than can reach inside the reader to evoke such strong feelings but small as a mustard seed is that one in a million story you will rarely find a story that can captivate your feelings and touch your soul like this one kindle book review,Romance
a song of ice and fire for the first time all five novels in the epic fantasy series that inspired hbo s game of thrones are together in one boxed set an immersive entertainment experience unlike any other a song of ice and fire has earned george r r martin dubbed the american tolkien by time magazine international acclaim and millions of loyal readers now here is the entire monumental cycle a game of thronesa clash of kingsa storm of swordsa feast of crowsa dance with dragons winter is coming such is the stern motto of house stark the northernmost of the fiefdoms that owe allegiance to king robert baratheon in far off king s landing there eddard stark of winterfell rules in robert s name there his family dwells in peace and comfort his proud wife catelyn his sons robb brandon and rickon his daughters sansa and arya and his bastard son jon snow far to the north behind the towering wall lie savage wildings and worse unnatural things relegated to myth during the centuries long summer but proving all too real and all too deadly in the turning of the season yet a more immediate threat lurks to the south where jon arryn the hand of the king has died under mysterious circumstances now robert is riding north to winterfell bringing his queen the lovely but cold cersei his son the cruel vainglorious prince joffrey and the queen s brothers jaime and tyrion of the powerful and wealthy house lannister the first a swordsman without equal the second a dwarf whose stunted stature belies a brilliant mind all are heading for winterfell and a fateful encounter that will change the course of kingdoms meanwhile across the narrow sea prince viserys heir of the fallen house targaryen which once ruled all of westeros schemes to reclaim the throne with an army of barbarian dothraki whose loyalty he will purchase in the only coin left to him his beautiful yet innocent sister daenerys,Fantasy
the ascent of money a financial history of the world niall ferguson follows the money to tell the human story behind the evolution of finance from its origins in ancient mesopotamia to the latest upheavals on what he calls planet finance bread cash dosh dough loot lucre moolah readies the wherewithal call it what you like it matters to christians love of it is the root of all evil to generals it s the sinews of war to revolutionaries it s the chains of labor but in the ascent of money niall ferguson shows that finance is in fact the foundation of human progress what s more he reveals financial history as the essential backstory behind all history with the clarity and verve for which he is known ferguson elucidates key financial institutions and concepts by showing where they came from what is money what do banks do what s the difference between a stock and a bond why buy insurance or real estate and what exactly does a hedge fund do this is history for the present ferguson travels to post katrina new orleans to ask why the free market can t provide adequate protection against catastrophe he delves into the origins of the subprime mortgage crisis,Historical Fiction
lords and ladies the fairies are back but this time they don t just want your teeth granny weatherwax and her tiny coven are up against real elves it s midsummer night no time for dreaming with full supporting cast of dwarfs wizards trolls morris dancers and one orang utan and lots of hey nonny nonny and blood all over the place,Fantasy
only the paranoid survive lessons from the ceo of intel corporation under andy grove s leadership intel has become the world s largest chip maker and one of the most admired companies in the world in only the paranoid survive grove reveals his strategy of focusing on a new way of measuring the nightmare moment every leader dreads when massive change occurs and a company must virtually overnight adapt or fall by the wayside grove calls such a moment a strategic inflection point which can be set off by almost mega competition a change in regulations or a seemingly modest change in technology when a strategic inflection point hits the ordinary rules of business go out the window yet managed right a strategic inflection point can be an opportunity to win in the marketplace and emerge stronger than ever grove underscores his message by examining his own record of success and failure including how he navigated the events of the pentium flaw which threatened intel s reputation in 1994 and how he has dealt with the explosions in growth of the internet the work of a lifetime only the paranoid survive is a classic of managerial and leadership skills the currency paperback edition of only the paranoid survive includes a new chapter about the impact of strategic inflection points on individual careers how to predict them and how to benefit from them,Science Fiction
at any price achievement unlocked geek virgin when mia strong proud geek girl and popular gaming blogger auctions off her virginity online she knows she ll make waves but what she will not be making is a love connection her rules are set in stone one night no further contact it s a desperate step but it s the only way she can go to medical school and pay her mother s mounting hospital bills difficulty level millionaire ceo adam drake the enigmatic auction winner is a software prodigy who made his first million at seventeen now in his mid twenties he s sexy driven and as ceo of his own gaming company he s used to making the rules before mia knows what s happening he s found the loophole in the rules of her auction every stipulation she s made to protect her heart gets tossed by the wayside she can t tell if he s playing her or if he s playing for keeps this new adult contemporary romance is intended for readers over the age of 18 due to adult language sexual content and adult situations,Romance
the perilous gard in 1558 while exiled by queen mary tudor to a remote castle known as perilous gard young kate sutton becomes involved in a series of mysterious events that lead her to an underground world peopled by fairy folk whose customs are even older than the druids and include human sacrifice,Historical Fiction
l a confidential christmas 1951 los angeles a city where the police are as corrupt as the criminals six prisoners are beaten senseless in their cells by cops crazed on alcohol for the three lapd detectives involved it will expose the guilty secrets on which they have built their corrupt and violent careers the novel takes these cops on a sprawling epic of brutal violence and the murderous seedy side of hollywood one of the best crime novels ever written it is the heart of ellroy s four novel masterpiece the la quartet and an example of crime writing at its most powerful,Mystery
monkeewrench people are dying for the new computer game by the software company monkeewrench literally with serial killer detective out in limited release the real life murders of a jogger and a young woman have already mimicked the first two scenarios in the game but grace mcbride and her eccentric monkeewrench partners are caught in a vise if they tell the minneapolis police of the link between their game and the murders they ll shine a spotlight on the past they thought they had erased and the horror they thought they d left behind if they don t eighteen more people will die,Mystery
aru shah and the tree of wishes war between the devas and the demons is imminent and the otherworld is on high alert when intelligence from the human world reveals that the sleeper is holding a powerful clairvoyant and her sister captive 14 year old aru and her friends launch a search and rescue mission the captives a pair of twins turn out to be the newest pandava sisters though according to a prophecy one sister is not true during the celebration of holi the heavenly attendants stage a massage pr rebranding campaign to convince everyone that the pandavas are to be trusted as much as aru relishes the attention she fears that she is destined to bring destruction to her sisters as the sleeper has predicted aru believes that the only way to prove her reputation is to find the kalpavriksha the wish granting tree that came out of the ocean of milk when it was churned if she can reach it before the sleeper perhaps she can turn everything around with one wish careful what you wish for aru,Fantasy
our game at forty eight tim cranmer is a secret servant in a premature retirement to deepest rural england his cold war is fought and won and he is free to devote himself to his stately manor house his vineyard and his beautiful young mistress emma,Mystery
broken when special agent will trent arrives in grant county he finds a police department determined to protect its own and far too many unanswered questions about a prisoner s death he doesn t understand why officer lena adams is hiding secrets from him he doesn t understand her role in the death of grant county s popular police chief he doesn t understand why that man s widow dr sara linton needs him now more than ever to help her crack this case while the police force investigates the murder of a young woman pulled from a frigid lake trent investigates the police force putting pressure on adams just when she s already about to crack caught between two complicated and determined women trying to understand linton s passionate distrust of adams the facts surrounding chief tolliver s death and the complexities of this insular town trent will unleash a case filled with explosive secrets and encounter a thin blue line that could be murderous if crossed,Mystery
fate alice bonham thinks she s finally found a balance in her life between the supernatural and real life with her brother milo jack her sorta vampire boyfriend keeps her at arm s length to keep her safe as for his brother peter she s not sure where he s at or what he wants with her worse still she s not even sure what she wants with peter when tragedy happens alice finds herself struggling with a terrible choice her decision has consequences that reach farther than she d ever imagined,Fantasy
revelations in revelations the first book of the merlin chronicles archeology student jason carpenter discovers a mysterious orb that has housed history s greatest wizard for 1 600 years forced into an uneasy alliance jason and merlin are sucked into a web of deceit intrigue and murder in a race to outwit and outrun merlin s ancient nemesis the evil sorceress morgana lafay a gang of drug smugglers and a 500 year old chinese necromancer it s a race against time to complete their quest before an army of dragons is unleashed on a vulnerable and unsuspecting 21st century world,Fantasy
halo alternative cover and new title for asin b00ckbjr2eshe has no name she has her knives her training her halo the first and second give her the ability to defeat the opponents she is pitted against each month the third frees her from pain and fear from any kind of emotion at all everything is as it should be everything is as it should be until fear pain anger happiness desire guilt love when a newly named kit escapes the sanctuary after killing her best friend the last thing she needs is another knife in her hand or ryka the damaged beautiful blond boy whom she refuses to let save her the sights and sounds of freetown are new yet one thing is familiar the matches the only difference where the blood in the sanctuary landed only on the colosseum floor kit will quickly learn that a river of red runs through freetown s very streets without her halo the inhabitants of kit s new home consider her saved but is that really the case the reality of her old life is paralyzing would she be better off free of the guilt associated with all the blood on her hands or is the love of one boy worth living through all the pain raksha is the call of the dead it is the rumbling chant for fresh blood from the other side the demand for sacrifice the colosseum is behind kit the fighting pits await,Science Fiction
new york to dallas twelve years ago eve dallas was just a rookie ny cop when her instincts led her to the apartment of isaac mcqueen a man she discovered to be a sick murderer and pedophile who was keeping young girls in cages now a homicide lieutenant eve is one of the most distinguished officers in the city and then she learns that mcqueen has escaped from jail bent on revenge against eve and with a need to punish more bad girls mcqueen heads to dallas texas the place where eve was found as a child the place where she killed her own abusive monster when she was only eight years old with eve and roarke in pursuit of mcqueen everything is on the line and secrets from eve s past are about to be shockingly revealed an unabridged recording on 12 cds 13 hours 54 minutes,Mystery
prison nation in the nation no one is innocent not even the children born behind bars millie 942b has spent her entire life locked away with her criminal parents and countless other inmates she believes in the nation in its strict laws and harsh punishments but when millie is released on her eighteenth birthday she finds things are nothing as she was taught people vanish never to be seen again lies cover every word trust is as fragile as ice and then there is reed born and raised outside the prison walls his dreams and thoughts cause millie to doubt everything she has ever believed what is truly worth fighting for if she pushes too hard she could lose her freedom if she stays silent she could lose herself the clock is ticking and millie must find the truth before it is too late,Science Fiction
no country for old men in his blistering new novel cormac mccarthy returns to the texas mexico border the setting of his famed border trilogy the time is our own when rustlers have given way to drug runners and small towns have become free fire zones one day llewellyn moss finds a pickup truck surrounded by a bodyguard of dead men a load of heroin and two million dollars in cash are still in the back when moss takes the money he sets off a chain reaction of catastrophic violence that not even the law in the person of aging disillusioned sheriff bell can contain as moss tries to evade his pursuers in particular a mysterious mastermind who flips coins for human lives mccarthy simultaneously strips down the american crime novel and broadens its concerns to encompass themes as ancient as the bible and as bloodily contemporary as this morning s headlines no country for old men is a triumph,Mystery
mermaid in a bowl of tears the long awaited sequel to exit unicorns opens in the autumn of 1969 casey and pamela riordan have fled the erupting violence of belfast northern ireland only to find themselves tangled in the web of political corruption that permeates south boston here a man s life can hang upon the whim of another and neighborhood politics and organized crime are one and the same while pamela appears to flourish in the arena of boston irish society casey struggles to survive in a sphere where his presence has become increasingly inconvenient betrayed and blackmailed by friend and foe the riordans are forced to make desperate choices that bear heavy consequences in the wake of tragedy they return to ireland and an alliance with james kirkpatrick it is here the bonds of love are tested by the bloody price of rebellion a past that is fraught with dangers of its own friendships that carry a steep price and a secret that threatens to tear their lives apart set against the backdrop of the gritty streets of southie and the heartbreaking beauty of ireland mermaid in a bowl of tears is a tale of the invincibility of the human spirit imbued with the passion humor and magic inherent to the emerald isle,Romance
carving angels papa adam the north pole s oldest elf and santa s former chief carver has given up blind frail and feeling useless he counts the minutes in every day as he waits to die until his youngest granddaughter challenges him to carve again together they prove that the most beautiful creations can come from the most unlikely sources and with the right love and encouragement anything is possible,Fantasy
fangirl a coming of age tale of fanfiction family and first love cath is a simon snow fan okay the whole world is a simon snow fan but for cath being a fan is her life and she s really good at it she and her twin wren ensconced themselves in the simon snow series when they were just kids it s what got them through their mother leaving reading rereading hanging out in simon snow forums writing simon snow fanfiction dressing up like the characters for every movie premiere cath s sister has mostly grown away from fandom but cath can t let go she doesn t want to now that they re going to college wren has told cath she doesn t want to be roommates cath is on her own completely outside of her comfort zone she s got a surly roommate with a charming always around boyfriend a fiction writing professor who thinks fanfiction is the end of the civilized world a handsome classmate who only wants to talk about words and she can t stop worrying about her dad who s loving and fragile and has never really been alone for cath the question is can she do this can she make it without wren holding her hand is she ready to start living her own life and does she even want to move on if it means leaving simon snow behind,Romance
first test in the medieval and fantastic realm of tortall keladry of mindelan is the first girl to take advantage of the decree that permits females to train for knighthood up against the traditional hazing of pages and a grueling schedule kel faces only one real roadblock lord wyldon the training master of pages and squires he is absolutely against girls becoming knights so while he is forced to train her wyldon puts her on probation for one year it is a trial period that no male page has ever had to endure and one that separates the good natured kel even more from her fellow trainees during the tough first year but kel is not a girl to underestimate as everyone is about to find out,Fantasy
wayside school boxed set bestselling and newbery medal winning author louis sachar knows how to make readers laugh and there are laughs galore in the classic wayside school series the first three books in the wayside school series are available together in this collection complete with hilarious stories zany art and a triple serving of absurdity more than fifteen million readers have laughed at the stories of sideways stories from wayside school wayside school gets a little stranger and wayside school is falling down so what are you waiting for come visit wayside school kids 7 to 13 will zoom through these chapter books laughing their way through the fast funny silly but relatable stories and get ready for wayside school beneath the cloud of doom the brand new fourth installment in the series and the first in twenty five years,Fantasy
carpe diem i ve got my entire life planned out for the next ten years including my phd and pulitzer prize claims 16 year old overachiever vassar spore daughter of overachiever parents who in true overachiever fashion named her after an elite women s college vassar expects her sophomore summer to include ap and aap advanced advanced placement classes surprise enter a world traveling relative who sends her plans into a tailspin when she blackmails vassar s parents into forcing their only child to backpack with her through southeast asia on a journey from malaysia to cambodia to the remote jungles of laos vassar sweats falls in love hones her outdoor survival skills and uncovers a family secret that turns her whole world upside down vassar spore can plan on one thing she ll never be the same again,Adventure
shifting gears wesley pierce a virginia state trooper is in search of the perfect log cabin to settle down in after losing his brother and doing his best to care for the family he left behind he decides a year after nathan s death that he s finally ready to move forward olivia michaels a realtor in search of her own dream home and a way out of her parents attic takes on a client who can help get her that much closer to affording her freedom little does she know that it isn t the perfect home that she finds but through wesley pierce she manages to find herself and maybe if she s capable of taking the leap she might even manage to find love this novel not unlike its predecessor in the rider series the wanderer is not a story about life altering suspense and mystery or a love that seemed impossible from the very start instead this story is of love in its purest form in life it isn t mystery and excitement that drive our hearts but trepidation and the moment in which we all decide to jump unguarded into the arms of another,Romance
the lost city of the monkey god a five hundred year old legend an ancient curse a stunning medical mystery and a pioneering journey into the unknown heart of the world s densest jungle since the days of conquistador hern n cort s rumors have circulated about a lost city of immense wealth hidden somewhere in the honduran interior called the white city or the lost city of the monkey god indigenous tribes speak of ancestors who fled there to escape the spanish invaders and they warn that anyone who enters this sacred city will fall ill and die in 1940 swashbuckling journalist theodore morde returned from the rainforest with hundreds of artifacts and an electrifying story of having found the lost city of the monkey god but then committed suicide without revealing its location three quarters of a century later author doug preston joined a team of scientists on a groundbreaking new quest in 2012 he climbed aboard a rickety single engine plane carrying the machine that would change everything lidar a highly advanced classified technology that could map the terrain under the densest rainforest canopy in an unexplored valley ringed by steep mountains that flight revealed the unmistakable image of a sprawling metropolis tantalizing evidence of not just an undiscovered city but an enigmatic lost civilization venturing into this raw treacherous but breathtakingly beautiful wilderness to confirm the discovery preston and the team battled torrential rains quickmud disease carrying insects jaguars and deadly snakes but it wasn t until they returned that tragedy struck preston and others found they had contracted in the ruins a horrifying sometimes lethal and incurable disease,Historical Fiction
little children unhappily married sarah passes her days at the local playground with her three year old daughter when happily unemployed todd also married and sarah meet their attraction is immediate they begin a passionate affair just as their suburban utopia is rattled by the arrival of registered sex offender ronald james mcgorvey with mcgorvey in town disgusted parents wonder if any of their little children will be safe,Science Fiction
ape and essence in february 2108 the new zealand rediscovery expedition reaches california at last it is over a century since the world was devastated by nuclear war but the blight of radioactivity and disease still gnaws away at the survivors the expedition expects to find physical destruction but they are quite unprepared for the moral degradation they meet ape and essence is huxley s vision of the ruin of humanity told with all his knowledge and imaginative genius,Science Fiction
blood promise bound by love but sworn to kill the world thought dimitri was dead and to a certain extent he was but i hadn t been able to forget a conversation he and i had once had we d both agreed that we d rather be dead truly dead than walk the world as strigoi it was time to honor our words guardian rose hathaway s life will never be the same the recent attack on st vladimir s academy devastated the entire moroi world many are dead and for the few victims carried off by strigoi their fates are even worse a rare tattoo now adorns rose s neck a mark that says she s killed far too many strigoi to count but only one victim matters dimitri belikov rose must now choose one of two very different paths honoring her life s vow to protect lissa her best friend and the last surviving dragomir princess or dropping out of the academy to strike out on her own and hunt down the man she loves she ll have to go to the ends of the earth to find dimitri and keep the promise he begged her to make but the question is when the time comes will he want to be saved now with everything at stake and worlds away from st vladimir s and her unguarded vulnerable and newly rebellious best friend can rose find the strength to destroy dimitri or will she sacrifice herself for a chance at eternal love readers who fell in love with rose lissa and dimitri won t want to miss blood promise the much anticipated epic fourth novel in richelle mead s enthralling vampire academy series,Fantasy
blue skies tomorrow in a time of peril can they find the courage to confront their fears and embrace a love that lasts when her husband becomes a casualty of the war in the pacific helen carlisle throws herself into volunteering for the war effort to conceal her feelings but keeping up appearances as the grieving widow of a hometown hero is taking its toll soon something is going to give lt raymond novak prefers the pulpit to the cockpit his stateside job training b 17 pilots allows him the luxury of a personal life and a convenient excuse to ignore his deepest fear when the beautiful helen catches his eye and captures his heart he is determined to win her hand but when ray and helen are called upon to step out in faith and put their reputations and their lives on the line can they meet the challenges that face them and can their young love survive until blue skies return filled with drama daring and all the romance of the wwii era blue skies tomorrow is the captivating final book in the popular wings of glory series,Historical Fiction
